item_id,order_id,product_id,quantity,unit_price
I077,O026,P067,11,850.00
I078,O026,P091,38,60.00
I079,O027,P012,4,85.00
I080,O027,P045,2,120.00
I081,O028,P021,26,180.00
I082,O028,P067,16,850.00
I083,O028,P091,52,65.00
I084,O028,P056,12,650.00
I085,O029,P021,16,180.00
I086,O029,P067,10,850.00
I087,O029,P091,32,55.00
I088,O030,P012,8,85.00
I089,O030,P045,4,120.00
I090,O031,P034,12,420.00
I091,O031,P078,24,32.50
I092,O031,P023,18,96.00
I093,O032,P056,5,650.00
I094,O032,P034,7,420.00
I095,O032,P012,9,85.00
I096,O033,P021,28,180.00
I097,O033,P067,14,850.00
I098,O033,P091,48,65.00
I099,O033,P056,11,650.00
I100,O034,P034,6,420.00
I101,O034,P078,17,32.50
I102,O034,P023,11,96.00
I103,O035,P021,32,180.00
I104,O035,P067,18,850.00
I105,O035,P091,58,65.00
I106,O035,P056,14,650.00
I107,O036,P034,10,420.00
I108,O036,P078,20,32.50
I109,O036,P023,15,96.00
I110,O037,P021,16,180.00
I111,O037,P067,8,850.00
I112,O037,P091,34,60.00
I113,O038,P056,7,650.00
I114,O038,P034,9,420.00
I115,O038,P012,11,85.00
I116,O039,P012,2,85.00
I117,O039,P045,1,120.00
I118,O040,P021,24,180.00
I119,O040,P067,15,850.00
I120,O040,P091,50,62.00
I121,O041,P021,26,180.00
I122,O041,P067,12,850.00
I123,O041,P091,42,65.00
I124,O041,P056,10,650.00
I125,O042,P021,18,180.00
I126,O042,P067,11,850.00
I127,O042,P091,36,55.00
I128,O043,P056,9,650.00
I129,O043,P034,11,420.00
I130,O043,P023,17,96.00
I131,O044,P034,13,420.00
I132,O044,P078,25,32.50
I133,O044,P023,19,96.00
I134,O045,P034,7,420.00
I135,O045,P078,18,32.50
I136,O045,P012,10,85.00
I137,O046,P021,30,180.00
I138,O046,P067,16,850.00
I139,O046,P091,54,65.00
I140,O046,P056,13,650.00
I141,O047,P021,34,180.00
I142,O047,P067,22,850.00
I143,O047,P091,62,68.00
I144,O047,P056,16,650.00
I145,O048,P056,5,650.00
I146,O048,P034,8,420.00
I147,O048,P012,11,85.00
I148,O049,P012,3,85.00
I149,O049,P045,2,120.00
I150,O050,P034,11,420.00
I151,O050,P078,23,32.50
I152,O050,P023,16,96.00
I153,O051,P021,28,180.00
I154,O051,P067,17,850.00
I155,O051,P091,56,65.00
I156,O051,P056,14,650.00
I157,O052,P021,17,180.00
I158,O052,P067,9,850.00
I159,O052,P091,36,60.00
I160,O053,P034,10,420.00
I161,O053,P078,21,32.50
I162,O053,P023,14,96.00
I163,O054,P021,24,180.00
I164,O054,P067,12,850.00
I165,O054,P091,40,65.00
I166,O054,P056,11,650.00
I167,O055,P021,20,180.00
I168,O055,P067,11,850.00
I169,O055,P091,38,57.50
I170,O056,P056,10,650.00
I171,O056,P034,12,420.00
I172,O056,P023,18,96.00
I173,O057,P034,6,420.00
I174,O057,P078,17,32.50
I175,O057,P012,9,85.00
I176,O058,P034,13,420.00
I177,O058,P078,26,32.50
I178,O058,P023,20,96.00
I179,O059,P021,32,180.00
I180,O059,P067,20,850.00
I181,O059,P091,60,68.00
I182,O059,P056,15,650.00
I183,O060,P021,29,180.00
I184,O060,P067,15,850.00
I185,O060,P091,52,65.00
I186,O060,P056,12,650.00
I187,O061,P012,10,85.00
I188,O061,P045,5,120.00
I189,O062,P056,5,650.00
I190,O062,P034,8,420.00
I191,O062,P012,9,85.00
I192,O063,P034,12,420.00
I193,O063,P078,24,32.50
I194,O063,P023,17,96.00
I195,O064,P021,30,180.00
I196,O064,P067,18,850.00
I197,O064,P091,58,66.00
I198,O064,P056,15,650.00
I199,O065,P021,15,180.00
I200,O065,P067,8,850.00
I201,O065,P091,32,60.00
I202,O066,P021,17,180.00
I203,O066,P067,10,850.00
I204,O066,P091,36,55.00
I205,O067,P012,5,85.00
I206,O067,P045,3,120.00
I207,O068,P021,25,180.00
I208,O068,P067,13,850.00
I209,O068,P091,42,65.00
I210,O068,P056,11,650.00
